Month,TotOccRate,HotelOccRate,MotelOccRate,BPOccRate,HPOccRate,TotnotHPOccRate,TotAveStay,HotelAveStay,MotelAveStay,BPAveStay,HPAveStay,TotnotHPAveStay
1996M07,27.6,46.7,49.6,37.1,6.5,46,2,1.8,2,2.3,2.7,1.9
1996M08,26.3,47.8,45.1,36.2,6.1,44.6,2.1,1.9,2,2.4,2.7,2
1996M09,28.7,48.9,52.1,37.6,7.8,47.9,2,1.9,2,2.5,2.4,2
1996M10,30.5,53,52.9,39.1,9,50.3,1.9,1.7,1.9,2.4,2.3,1.8
1996M11,34.2,62,59.1,49.3,9.4,58.5,1.8,1.8,1.8,2.1,2,1.8
1996M12,34,49.2,51.9,53.6,17.2,51.1,2,1.7,1.8,2.1,2.5,1.8
1997M01,42.4,50,62.6,58.1,28.7,56.3,2.4,1.8,1.9,2.1,3.6,1.9
1997M02,41.5,65.6,68.3,60.1,17.5,65.5,1.9,1.7,1.8,2,2.3,1.8
1997M03,37.4,58.4,63.1,55.1,15.3,59.5,1.9,1.6,1.8,2.1,2.4,1.8
1997M04,30.6,51.2,54.5,43.7,10,50.9,1.8,1.7,1.8,2.1,2.3,1.8
1997M05,24.7,44.5,42.5,31.8,6.5,41.2,1.9,1.8,1.8,2.3,2.3,1.8
1997M06,21.8,38.1,39.2,29.2,5.3,36.7,2,1.8,1.9,2.5,2.8,1.9
1997M07,25.6,42.9,46.6,34.8,6,42.7,2,1.8,1.9,2.3,2.5,1.9
1997M08,25.9,46,43.7,33.8,6.2,42.7,2.1,1.9,2,2.5,2.6,2
1997M09,26.2,44.9,45.5,33.3,7.4,42.7,2,1.8,1.9,2.3,2.3,1.9
1997M10,29.6,50.5,53.3,35,9.6,48.3,1.9,1.7,1.9,2.1,2.3,1.8
1997M11,32,58,53.3,43.1,9.3,53.2,1.8,1.7,1.7,1.9,2.2,1.7
1997M12,33,45,47.9,48.8,18.4,46.9,2,1.7,1.8,1.9,2.8,1.8
1998M01,42,46.9,58.6,56,30.1,53.2,2.5,1.8,1.9,2,3.9,1.9
1998M02,40.7,62.5,66.1,56.5,17.6,62.6,1.9,1.7,1.8,1.9,2.3,1.8
1998M03,34.9,55.7,60,50.3,12.2,56.2,1.9,1.8,1.8,2,2.2,1.8
1998M04,32,49,54.9,42.7,12.4,49.9,1.9,1.8,1.8,2.1,2.2,1.8
1998M05,24.4,40.9,42.9,29.5,6.9,39.2,1.9,1.8,1.8,2.2,2.4,1.8
1998M06,21.2,36.7,37.2,25.5,5.3,34.4,1.9,1.9,1.8,2.2,2.6,1.9
1998M07,25.2,41.7,44.1,31.4,6.1,40.4,2,1.9,1.9,2.2,2.4,1.9
1998M08,24.4,42.9,41.5,29.2,5.8,39.4,2,2,1.9,2.3,2.5,2
1998M09,26.1,43.7,45.8,30.2,7.2,41.4,1.9,1.9,1.8,2.2,2.2,1.9
1998M10,29.3,50,51.7,35.2,9.1,47.2,1.9,1.8,1.8,2.1,2.2,1.8
1998M11,32.4,57.8,53.2,43.1,9.5,52.8,1.8,1.7,1.7,1.9,2,1.7
1998M12,33,45.3,47.6,48.4,17.4,46.9,2,1.7,1.8,2,2.7,1.8
1999M01,43.7,49,58.1,55.6,32.5,53.8,2.3,1.8,1.9,1.9,3.3,1.9
1999M02,41,64,63.8,59.3,16.3,62.9,1.8,1.7,1.7,1.9,2.1,1.7
1999M03,36.5,58.1,60.1,53.8,12.2,57.9,1.8,1.8,1.8,2,2.1,1.8
1999M04,32.8,51.2,53.9,45.8,12.1,51,1.9,1.7,1.8,2,2.2,1.8
1999M05,24.5,42.7,39.4,32.5,6.1,39.2,1.9,1.8,1.7,2.2,2.2,1.8
1999M06,24.1,39.6,41.9,31.5,6,38.7,1.9,1.8,1.8,2.1,2.3,1.8
1999M07,26,45.3,43.8,33.1,6,42,2,1.9,1.8,2.2,2.3,1.9
1999M08,26.2,46.7,42.3,33.7,5.9,42.2,2,1.9,1.9,2.3,2.5,1.9
1999M09,30.7,52,50.6,36.9,8.9,48,2,2,1.9,2.2,2.3,1.9
1999M10,29.9,51.1,49.4,38.6,9.3,47.6,1.9,1.7,1.8,2.1,2.1,1.8
1999M11,35.2,62.6,55.9,51.3,9.7,57.6,1.8,1.8,1.7,2,2,1.8
1999M12,33.8,46.9,47.1,52.5,17.6,48.3,2,1.7,1.8,2,2.5,1.8
2000M01,44.1,50,58.9,59.8,31.3,55.5,2.2,1.7,1.9,1.9,3.3,1.8
2000M02,41.8,66.9,65.5,59.8,15.7,64.7,1.8,1.7,1.8,1.9,2,1.8
2000M03,36.9,58.2,59.8,54.6,12.8,57.9,1.8,1.7,1.7,2,1.8,1.8
2000M04,34.3,52.2,56.3,48.8,12.8,52.9,1.8,1.7,1.8,2,2,1.8
2000M05,25.1,43.9,40.2,34.7,5.9,40.4,1.8,1.7,1.7,2.1,2,1.8
2000M06,23.5,40.4,39.3,31.3,5.4,37.9,1.9,1.8,1.8,2.1,2.2,1.8
2000M07,26.9,46.1,45.1,35,5.9,43.1,1.9,1.8,1.8,2.2,2.2,1.9
2000M08,26.9,48.4,43.4,34.5,5.6,43.3,1.9,1.9,1.9,2.3,2.1,1.9
2000M09,28.3,46.9,47.1,34.6,7.8,44,1.9,1.8,1.8,2.2,2,1.9
2000M10,31.5,53.3,50.5,37.1,9.8,48.4,1.8,1.8,1.8,2,2,1.8
2000M11,36.5,65.7,56.3,48,10.4,58.1,1.8,1.7,1.7,1.9,1.9,1.7
2000M12,37.5,51.8,51.1,54,20.1,52.1,1.9,1.7,1.8,1.9,2.3,1.8
2001M01,47.7,58.1,63.8,59.3,32.5,60.4,2.1,1.7,1.9,2,2.8,1.8
2001M02,44.8,69.7,68.3,61.6,17.9,67.2,1.8,1.7,1.8,1.9,2,1.8
2001M03,40.8,66.1,64.4,55.5,14.1,62.9,1.8,1.7,1.7,1.9,1.9,1.7
2001M04,34.6,53.1,54.9,49.1,12.3,52.7,1.8,1.7,1.8,2,2,1.8
2001M05,27.1,47,42.2,36.3,6.4,42.7,1.8,1.7,1.8,2.1,2,1.8
2001M06,25.3,42.2,42,32.1,5.9,39.7,1.8,1.8,1.8,2,2.1,1.8
2001M07,28.9,48.1,47.9,37.1,6.3,45.4,1.9,1.9,1.9,2.2,2.2,1.9
2001M08,29.2,51.3,45.5,36.6,6.5,45.6,1.9,1.9,1.9,2.2,2.2,1.9
2001M09,30.5,50.6,49.6,37.7,8.1,47,1.9,1.9,1.9,2.1,2,1.9
2001M10,32.8,53.7,52.3,40.9,10.1,50.1,1.8,1.8,1.8,2,2,1.8
2001M11,36.2,61.1,55.7,50.5,11,56.6,1.8,1.7,1.8,1.9,1.8,1.8
2001M12,37.8,51.8,52.4,50.9,20.4,51.8,2,1.7,1.8,1.9,2.4,1.8
2002M01,48.1,57.8,64.3,61.4,32.2,61,2.1,1.8,1.9,2,2.8,1.9
2002M02,46.6,70.9,69.5,64.6,19,68.8,1.8,1.7,1.8,1.9,2,1.8
2002M03,45.1,68.9,68.6,61.7,17.6,67,1.9,1.8,1.8,2,1.9,1.9
2002M04,36.5,56.1,55.2,51.5,12.1,54.6,1.8,1.8,1.7,1.9,1.9,1.8
2002M05,28.7,47.7,43.6,39.3,7.6,44.2,1.8,1.7,1.7,2,1.9,1.8
2002M06,26.7,44,43,35.4,6.4,41.5,1.9,1.8,1.8,2.1,2.1,1.8
2002M07,30.6,50.8,49.3,39,6.8,47.3,2,2,1.9,2.2,2.1,2
2002M08,29.8,51.1,46.5,37.6,6.7,46.1,2,2,1.9,2.2,2.3,2
