Date,All groups
1998Q1,831.188372
1998Q2,834.98029
1998Q3,839.530591
1998Q4,832.705139
1999Q1,830.429988
1999Q2,831.946755
1999Q3,835.274542
1999Q4,836.938436
2000Q1,842.762063
2000Q2,848.585691
2000Q3,860.232945
2000Q4,870.216306
2001Q1,868.552413
2001Q2,876.039933
2001Q3,881.031614
2001Q4,886.023295
2002Q1,891.014975
2002Q2,900.166389
2002Q3,904.326123
2002Q4,910.14975
2003Q1,913.477537
2003Q2,913.477537
2003Q3,917.637271
2003Q4,924.292845
2004Q1,927.620632
2004Q2,935.108153
2004Q3,940.93178
2004Q4,949.251248
2005Q1,953.410982
2005Q2,961.730449
2005Q3,972.545757
2005Q4,979.201331
2006Q1,985.024958
2006Q2,1000
2006Q3,1007
2006Q4,1005
2007Q1,1010
2007Q2,1020
2007Q3,1025
2007Q4,1037
2008Q1,1044
2008Q2,1061
2008Q3,1077
2008Q4,1072
2009Q1,1075
2009Q2,1081
2009Q3,1095
2009Q4,1093
2010Q1,1097
2010Q2,1099
2010Q3,1111
2010Q4,1137
2011Q1,1146
2011Q2,1157
2011Q3,1162
2011Q4,1158
2012Q1,1164
