DATE,Business,Conventions.Conferences,Education,Holiday,Other,Friends.Relatives
2011M09,7664,814,14442,48151,14364,32409
2011M10,7973,956,14150,51378,14224,36210
2011M11,8193,1664,13912,56089,13097,39264
2011M12,7180,1306,11129,74175,15415,82949
2012M01,6913,586,10921,89189,17008,88076
2012M02,8938,1007,13927,83544,17435,66921
2012M03,9118,1094,14164,69401,17587,54234
2012M04,7937,988,13401,50880,17111,48089
2012M05,8068,720,12971,31558,14639,31769
2012M06,7396,623,12807,26353,12768,30005
2012M07,7011,878,14202,34335,12518,34476
2012M08,7348,1076,13725,33572,12386,32200
2012M09,7099,1276,12374,31173,11755,30865
2012M10,7492,1272,12046,36200,12276,33695
